S1,A20012,Car,5,Straight,Waiting,3
S1,H20013,Truck,4,Right,Waiting,6
S1,E20014,Car,5,Left,Waiting,3
S2,F20015,Bus,8,Straight,Waiting,5
S2,A20022,Car,3,Right,Waiting,3
S2,W20017,Truck,10,Left,Waiting,6
S3,D20018,Bus,8,Straight,Waiting,5
S3,A20019,Car,3,Left,Waiting,3
S3,G20020,Truck,10,Right,Waiting,6
S4,B20021,Truck,8,Left,Waiting,6
S4,G20021,Truck,8,Left,Waiting,6
S4,W20022,Bus,8,Straight,Waiting,5
S4,S20021,Truck,8,Left,Waiting,6
S3,X20018,Bus,8,Straight,Waiting,5
S3,X20019,Car,3,Left,Waiting,3
S3,X20020,Truck,10,Right,Waiting,6
S1,B20012,Car,5,Straight,Waiting,3
S1,Z20013,Truck,4,Right,Waiting,6
S1,Z20014,Car,5,Left,Waiting,3
S2,Z20015,Bus,8,Straight,Waiting,5
S2,Z20022,Car,3,Right,Waiting,3
S2,Z20017,Truck,10,Left,Waiting,6
S3,Z20044,Bus,8,Straight,Waiting,5
S3,Z20011,Car,3,Left,Waiting,3
S3,Z20026,Truck,10,Right,Waiting,6
S4,Z20021,Truck,8,Left,Waiting,6
S4,Z20023,Truck,8,Left,Waiting,6
S4,Z20033,Bus,8,Straight,Waiting,5
S4,Z20024,Truck,8,Left,Waiting,6
S3,Z20018,Bus,8,Straight,Waiting,5
S3,Z20019,Car,3,Left,Waiting,3
S3,Z20020,Truck,10,Right,Waiting,6
